image_id,common_scores,residual_scores,common_std,residual_std,same_as_C,same_as_Mean
5656,"[0.541826306532729, 0.51451875267429, 0.48054435167450393, 0.49069133702205947, 0.5430862545313483, 0.5318301522210414, 0.5549743203345308, 0.5022649171364687]","[0.03574987087398562, 0.03923395004128472, 0.03474005414322676, 0.03589360882037776, 0.06975212526826735, 0.041123626169314254, 0.036274140830372864, 0.05901681725005713]",0.02532990537439154,0.012241698201985595,True,False
5683,"[0.518826041178755, 0.47113436091650596, 0.4581057172349612, 0.531275826828776, 0.4973509808481913, 0.4588276205227022, 0.49865219141646366, 0.5473837552129851]","[0.15906822246462576, 0.14084863490937816, 0.1163283398616364, 0.1427072403670337, 0.12308064299755878, 0.1250481001442557, 0.12336586089226625, 0.14579585882059404]",0.03128028899177711,0.013751222569415123,False,False
5790,"[0.5258446469778778, 0.5534290989557613, 0.5079945466978235, 0.48920916485319943, 0.4903800257004418, 0.559035341316853, 0.49597095759956444, 0.5734741507214364]","[0.07014499331227136, 0.049557384875353785, 0.06849202488326957, 0.06744347629861853, 0.07005085676404779, 0.02914706271637297, 0.0509436948244727, 0.04226828096910101]",0.0314756954442309,0.014410173583971559,False,False
5929,"[0.5125526890562493, 0.4982390483983046, 0.4525857008979135, 0.4914116221838145, 0.5111529620052113, 0.4746317028235162, 0.46266159217260583, 0.3369796495791699]","[0.05063245846021197, 0.04356226859720032, 0.04258214948007927, 0.0318736043352746, 0.02777211314446807, 0.023486394493130554, 0.02137801024252116, 0.05369502361523197]",0.05336694253668951,0.011601507932391876,False,False
6315,"[0.4930607383270974, 0.507263145166952, 0.47181923901933853, 0.5284009261699614, 0.5007116697163929, 0.5454549389637797, 0.4121570267121596, 0.48212616535860353]","[0.14496927757922917, 0.14248783683666888, 0.1481421850760066, 0.1409301659358725, 0.12604733631469517, 0.11192000035278418, 0.13258144531188004, 0.1462332754298073]",0.03769777624789595,0.011651507235935601,False,False
6360,"[0.498353725799416, 0.43028920045274044, 0.44875335522175375, 0.48710052649752666, 0.5368184169396941, 0.4590579135330599, 0.4119465269394169, 0.48562922784589346]","[0.019120645983907544, 0.024054141855747925, 0.021157909758520384, 0.014541963495946802, -0.030696910072259276, -0.005973516558888271, 0.002921506391805556, -0.024221532542756524]",0.03762165600484511,0.01975444404641112,False,False
6454,"[0.5109980914041984, 0.45425094454270465, 0.5391551940835259, 0.506068716965009, 0.5515809099028498, 0.5522042001000784, 0.5124150581497795, 0.5038153530444244]","[0.06381837919169997, 0.07343594138056783, 0.06432427148707959, 0.04653888766425096, 0.04252152196635885, -0.018993223182110233, 0.08393984821294954, 0.042762163182148795]",0.030020923869643147,0.029532409816622814,False,False
6603,"[0.4996260221463187, 0.5015307358069876, 0.5275920678729519, 0.4780221238912918, 0.5705008007319398, 0.47958557025317616, 0.49681740809654185, 0.4705692459603708]","[0.08028931115041038, 0.082207324933387, 0.0796868244342924, 0.07796725904415377, 0.07584491608221268, 0.08762468291769873, 0.0742324458207808, 0.07519570956695376]",0.03048928293388731,0.004106276209402721,False,False
6750,"[0.5343656591338952, 0.4724007734080361, 0.4755811876122896, 0.49902904341837817, 0.4661342998563518, 0.41955195738151546, 0.4581886874022084, 0.4858409572165791]","[0.0748613292424099, 0.089815575962634, 0.10055581771790892, 0.08726360663033349, 0.13137501836783752, 0.13525838102048307, 0.10332489358558952, 0.10198789028292446]",0.03091646446037417,0.01957700242208587,False,False
6759,"[0.5701532139712402, 0.5634168942338078, 0.5793216824113772, 0.5526733135254672, 0.5581899765738647, 0.5746332941054012, 0.566574784528961, 0.5566827265804344]","[0.21790856721201612, 0.2224802682698277, 0.2158121590226183, 0.21175045321231745, 0.22257875304537084, 0.20288728774549245, 0.21477402557691733, 0.1990436969353518]",0.00863578865033619,0.008016200949635503,False,False
6770,"[0.49957798424298516, 0.4927647374363295, 0.4979333580496115, 0.5211772662014033, 0.5000933372612932, 0.5141093178391573, 0.5311811198025551, 0.49293870816152485]","[0.0961537299506901, 0.09570810515499573, 0.0744335644667635, 0.08855630337195552, 0.1051896868723932, 0.07806767093267869, 0.08808011390487333, 0.10380084648062046]",0.013307780744103473,0.010426111194365626,False,False
6991,"[0.5378140188135323, 0.4803138818088549, 0.45978790853846696, 0.4888844127088313, 0.4571337793425605, 0.4437226884321689, 0.41583592279403603, 0.5234714892063292]","[0.0120122877518061, 0.07920337120608491, 0.048759171193296966, 0.048207994404727526, 0.06598263253958228, 0.06773212700667663, 0.0846149591206663, 0.009095846921891632]",0.03797911590652104,0.02671942034014814,False,False
7306,"[0.4502391351609386, 0.50169276015145, 0.442247855948808, 0.5194809017209523, 0.524531949912501, 0.5016464515465777, 0.42720265478074804, 0.5139380983199149]","[0.13682399907162462, 0.1333739144055458, 0.11905225185636589, 0.10688059916371231, 0.09097382915171731, 0.1038739645286603, 0.1422418248439941, 0.0950578567404382]",0.036265256150322916,0.018467940376398498,False,False
7355,"[0.4804941981566294, 0.5366914111542025, 0.5235266875915685, 0.46718715306228353, 0.496790361757657, 0.47065510903633156, 0.45550593729407296, 0.5150767272928448]","[0.0035092178406934604, 0.019651772045775708, 0.023862560917462042, 0.01663461537376695, 0.049243265835121536, -0.006750376919778271, 0.00859343111008001, 0.037418709494522036]",0.027545188743152413,0.01693704493151422,False,False
7899,"[0.40968984596950486, 0.47148410475759206, 0.45793218609538344, 0.4945910105946397, 0.39366575242469126, 0.48342315585275814, 0.5028831547447644, 0.4365421409342414]","[0.0707653195251469, 0.07194059930416095, 0.061194123503287054, 0.07504252156172217, 0.0696787955927041, 0.06816297855556419, 0.08650859752157476, 0.05411014735554032]",0.037234061061214296,0.008909111601129217,True,True
8061,"[0.4445723862050418, 0.35535254939884353, 0.5062224425784027, 0.46348940584495646, 0.4269215005361799, 0.4379075123730279, 0.41893049925030573, 0.43099822066199545]","[0.044300819932925485, 0.054963337394227936, 0.04358230448016434, 0.049482857572406606, 0.05278001347911383, 0.05610002786364754, 0.029768629511059515, 0.04946910693525087]",0.039788777373248804,0.007947555729980018,False,False
8215,"[0.4234391207438268, 0.40038664845048655, 0.3370437992442109, 0.4935389752204611, 0.46151663197881465, 0.4657614604056757, 0.4118930415156876, 0.5095194775333576]","[0.044031830994447366, 0.02915469204852841, 0.057914333649167635, 0.047267293532145295, 0.04405541465352016, 0.026260586195377352, 0.04316536563145429, 0.015472544092230886]",0.05246874525648324,0.012768885600828256,False,False
8234,"[0.5243481873555116, 0.5332043993582201, 0.5428713932581826, 0.4775204861820378, 0.5327488333902478, 0.5015787456395483, 0.5335298576817612, 0.5499263958616637]","[0.08608293222881583, 0.08651236756348185, 0.09625964252465255, 0.07385733151792973, 0.08755161579845883, 0.09809930924538125, 0.05399695456031188, 0.10445435301161951]",0.022197495034381363,0.014859160662693785,True,True
8238,"[0.5632871647938491, 0.5668302870363902, 0.5558856371685796, 0.5171183055395321, 0.5706628973487438, 0.5119077255957848, 0.5532423819420897, 0.5054856598086639]","[0.06636218969559957, 0.06687199616403548, 0.06797745176684036, 0.06770928888074615, 0.07433132240710086, 0.051951394463709756, 0.04426789321279814, 0.04723862992235996]",0.025148381801738146,0.010521792695095452,True,True
8275,"[0.5465661066783967, 0.516445143876352, 0.5343257846789109, 0.5281198657740093, 0.5377222646087568, 0.5283709785089625, 0.5566393817968491, 0.5313339011725704]","[0.07740617683743364, 0.07723705120170962, 0.09548313580031467, 0.09938657390591771, 0.09467143733401445, 0.06384435326890507, 0.09953398218358837, 0.07843909368602164]",0.011504769164385904,0.01237778595399861,True,True
8367,"[0.5202439463925856, 0.5277401568550049, 0.48592804471977297, 0.4932277546036447, 0.5263639667908269, 0.5008489031140733, 0.5426623005887474, 0.5166807114325174]","[0.11983489536827008, 0.10038112813483661, 0.1216844924007668, 0.0982349285110102, 0.09160038332525541, 0.11972342960309793, 0.11762739245246859, 0.11073347622516405]",0.018032861951567496,0.01093157221284763,False,False
8828,"[0.5293829344976917, 0.550451431858336, 0.5724259116306522, 0.5894335046133679, 0.5603273264795492, 0.5685726779884825, 0.5356274966815373, 0.5519676307627648]","[0.14934437742760842, 0.11187964394716197, 0.1389529667553453, 0.11141949176316297, 0.131894024011886, 0.10941902913873829, 0.12938171455123765, 0.14187390113815107]",0.018445814972603614,0.01442712645054218,False,False
8862,"[0.5188850997554879, 0.5287793207708337, 0.5392214586565771, 0.5282821739517842, 0.52980183539347, 0.45137540687024313, 0.5321975941971753, 0.45700689842267195]","[0.08991699314748669, 0.06368795242433277, 0.06981067430463077, 0.07928938641095208, 0.06133130395871562, 0.09357058756603373, 0.06143992990608422, 0.07431771446608898]",0.0330640420355451,0.011759806375090198,False,False
8926,"[0.49369474892393206, 0.4065420363782136, 0.5187593947538938, 0.44537926897067215, 0.5167121561591755, 0.48386682773156076, 0.5153348882288775, 0.4287773918527584]","[0.02232755995524084, 0.09684629510373242, 0.017559598024155337, 0.004146414449520932, 0.014300797013742986, 0.040045832277334645, 0.0063180391694879386, 0.036912541000982735]",0.04092667286405608,0.028076167893035256,False,False
9188,"[0.5432388911953725, 0.5291777905701012, 0.5553049662317353, 0.5122342362138539, 0.538259908475119, 0.5637305116818137, 0.5260958949300815, 0.5569488992337703]","[0.1245363548416081, 0.13431031918163536, 0.10934157655530366, 0.09100920713794043, 0.1261118304521893, 0.11445320566044435, 0.11313795093227899, 0.1131729467371842]",0.016494055013325404,0.012234034179586305,False,False
9298,"[0.43686645613087427, 0.47227345307045726, 0.48449067464192785, 0.494540590083155, 0.5226279061066605, 0.5342951878356583, 0.5223502919913952, 0.4739318780136163]","[0.10491410375589144, 0.0813865583738692, 0.0985984563658487, 0.07534758611718768, 0.09261568070129628, 0.09163057400571904, 0.06302836710997692, 0.09711401425742176]",0.030542233916168886,0.012958193326088949,False,False
