method,image_id,cosine,forward_two_way,top1,top5
C,39793,0.7334637145985226,0.8957915831663327,0.0,0.0
C,39920,0.7188194074018734,0.9719438877755511,0.0,0.0
C,39986,0.7146484006658536,0.9478957915831663,0.0,0.0
C,40269,0.8134295938375795,0.9899799599198397,0.0,0.0
C,40756,0.8328329113596608,0.9959919839679359,0.0,1.0
C,40798,0.8415854455469254,0.9979959919839679,0.0,1.0
C,40819,0.8715962799096372,1.0,1.0,1.0
C,40933,0.7064185748322385,0.685370741482966,0.0,0.0
C,40990,0.6820110568940859,0.8356713426853707,0.0,0.0
C,41120,0.7711325742101229,0.9779559118236473,0.0,0.0
C,41402,0.7459940084530221,0.9378757515030061,0.0,0.0
C,41540,0.7739653938256376,0.9919839679358717,0.0,1.0
C,41555,0.8639648010706653,0.9979959919839679,0.0,1.0
C,41561,0.6948313452006321,0.8897795591182365,0.0,0.0
C,41592,0.8014421818359154,0.9839679358717435,0.0,0.0
C,41636,0.8395652963725545,0.9959919839679359,0.0,1.0
C,41640,0.7360451979290212,0.9098196392785571,0.0,0.0
C,41924,0.8585464792552833,1.0,1.0,1.0
C,41976,0.7290763189358257,0.9819639278557114,0.0,0.0
C,42022,0.799878272335794,0.9979959919839679,0.0,1.0
C,42251,0.8226928973280285,0.9979959919839679,0.0,1.0
C,42302,0.7478606856743988,0.9178356713426854,0.0,0.0
C,42466,0.7236336472542721,0.7675350701402806,0.0,0.0
C,42679,0.7249628645333474,0.8877755511022044,0.0,0.0
C,43065,0.7811802351954353,0.9899799599198397,0.0,0.0
C,43198,0.7343299423860823,0.9118236472945892,0.0,0.0
C,43211,0.7703532050687186,0.9619238476953907,0.0,0.0
C,43332,0.6720885936730141,0.7414829659318637,0.0,0.0
C,43546,0.7779553643873462,0.9879759519038076,0.0,0.0
C,43584,0.7181587926472708,0.935871743486974,0.0,0.0
C,44248,0.7991374694324436,0.9839679358717435,0.0,0.0
C,44279,0.8009680556688941,0.9979959919839679,0.0,1.0
C,44360,0.8002401404644802,1.0,1.0,1.0
C,44413,0.6864916720309232,0.8617234468937875,0.0,0.0
C,44422,0.7882417362112517,1.0,1.0,1.0
C,44903,0.6347443923019815,0.45691382765531063,0.0,0.0
C,44975,0.7698783009417826,0.9679358717434869,0.0,0.0
C,45377,0.8543908894218373,0.9979959919839679,0.0,1.0
C,45528,0.8292346375903326,1.0,1.0,1.0
C,45699,0.6310779233089421,0.39478957915831664,0.0,0.0
C,45952,0.7442854956965287,0.9498997995991983,0.0,0.0
C,45987,0.8209229418252616,0.9959919839679359,0.0,1.0
C,46166,0.697977085099805,0.8617234468937875,0.0,0.0
C,46276,0.8011296936033199,0.9979959919839679,0.0,1.0
C,46403,0.8342527517373353,1.0,1.0,1.0
C,46524,0.6358780187199654,0.4188376753507014,0.0,0.0
C,46653,0.7579997567827697,0.9178356713426854,0.0,0.0
C,47030,0.7396704057693184,0.9098196392785571,0.0,0.0
C,47086,0.7006205571074701,0.811623246492986,0.0,0.0
C,47093,0.7272828554086874,0.9138276553106213,0.0,0.0
C,47122,0.8664210519109934,1.0,1.0,1.0
C,47125,0.6998296508727752,0.8797595190380761,0.0,0.0
C,47331,0.862058765752205,1.0,1.0,1.0
C,47471,0.7565641806988277,0.9118236472945892,0.0,0.0
C,47583,0.6691253066762153,0.7074148296593187,0.0,0.0
C,47744,0.7737429696150703,0.9939879759519038,0.0,1.0
C,47907,0.5557371050669975,0.12424849699398798,0.0,0.0
C,48376,0.8708061924757857,1.0,1.0,1.0
C,48655,0.7955480173750548,0.9859719438877755,0.0,0.0
C,48911,0.7786319855345711,0.9879759519038076,0.0,0.0
C,49170,0.8508862736278745,0.9819639278557114,0.0,0.0
C,49195,0.7875286160078343,0.9839679358717435,0.0,0.0
C,49256,0.6842950417111027,0.7214428857715431,0.0,0.0
C,49315,0.7701217195904314,0.9779559118236473,0.0,0.0
C,49474,0.870390154879046,1.0,1.0,1.0
C,49475,0.8165632395696317,0.9939879759519038,0.0,1.0
C,49678,0.7589214171551399,0.9919839679358717,0.0,1.0
C,49702,0.7658328005677453,0.9879759519038076,0.0,0.0
C,49760,0.7793968701614095,0.9639278557114228,0.0,0.0
C,50203,0.6973684600156744,0.8777555110220441,0.0,0.0
C,50210,0.7647551502222378,0.9619238476953907,0.0,0.0
C,50622,0.6960489389929475,0.779559118236473,0.0,0.0
C,50708,0.7287528168888268,0.9679358717434869,0.0,0.0
C,50739,0.7717509656295036,0.9839679358717435,0.0,0.0
C,50850,0.8298928306700568,0.9919839679358717,0.0,1.0
C,51008,0.8684367684734833,1.0,1.0,1.0
C,51227,0.8381932922922004,0.9899799599198397,0.0,0.0
C,51300,0.7399969033849737,0.9378757515030061,0.0,0.0
C,51380,0.7780166703238965,0.9619238476953907,0.0,0.0
C,51385,0.864673589205617,1.0,1.0,1.0
C,51436,0.8121171086467467,0.9919839679358717,0.0,1.0
C,51517,0.7418102683822663,0.8316633266533067,0.0,0.0
C,51688,0.7669038019248221,0.9939879759519038,0.0,1.0
C,51865,0.7559758552232108,0.9519038076152304,0.0,0.0
C,51943,0.7998625093260856,0.9939879759519038,0.0,1.0
C,51956,0.6481150667863309,0.4228456913827655,0.0,0.0
C,51990,0.7141882270470588,0.8336673346693386,0.0,0.0
C,52228,0.6987440970968855,0.8977955911823647,0.0,0.0
C,52277,0.7814599432038558,0.9759519038076152,0.0,0.0
C,52729,0.8025794882351367,0.9939879759519038,0.0,1.0
C,52733,0.7635165955676577,0.9739478957915831,0.0,0.0
C,52803,0.716212509703779,0.7755511022044088,0.0,0.0
C,52927,0.7776206514806026,0.9498997995991983,0.0,0.0
C,53445,0.7887794174191317,0.9779559118236473,0.0,0.0
C,53659,0.8234222731141436,0.9959919839679359,0.0,1.0
C,53729,0.8163516951162462,0.9619238476953907,0.0,0.0
C,53974,0.7803530352359975,0.9879759519038076,0.0,0.0
C,54054,0.677186151330869,0.7134268537074149,0.0,0.0
C,54099,0.8039825814031147,0.9879759519038076,0.0,0.0
C,54250,0.8408091983709087,1.0,1.0,1.0
C,54336,0.7283972505766294,0.8957915831663327,0.0,0.0
C,54681,0.7759055103061547,0.9539078156312625,0.0,0.0
C,55202,0.839625246296045,0.9979959919839679,0.0,1.0
C,55501,0.7942673222393959,0.9619238476953907,0.0,0.0
C,55597,0.8435336680220711,0.9879759519038076,0.0,0.0
C,55741,0.7522323035380788,0.9378757515030061,0.0,0.0
C,55808,0.7370436950810035,0.9859719438877755,0.0,0.0
C,55876,0.7858019983129918,0.9879759519038076,0.0,0.0
C,55878,0.7484518816391661,0.8997995991983968,0.0,0.0
C,56047,0.7605732282572462,0.9779559118236473,0.0,0.0
C,56131,0.49389433796053056,0.052104208416833664,0.0,0.0
C,56162,0.6605571185287454,0.6953907815631263,0.0,0.0
C,56272,0.743821335029092,0.8617234468937875,0.0,0.0
C,56496,0.6142538769187417,0.39879759519038077,0.0,0.0
C,56554,0.8199806213441156,0.9619238476953907,0.0,0.0
C,56629,0.7951365431553468,0.9939879759519038,0.0,1.0
C,56651,0.7260410670833319,0.8877755511022044,0.0,0.0
C,56698,0.5014369315949798,0.028056112224448898,0.0,0.0
C,56873,0.6591120642866655,0.5150300601202404,0.0,0.0
C,56963,0.799795832090704,0.9939879759519038,0.0,1.0
C,57114,0.8283109207527426,0.9979959919839679,0.0,1.0
C,57244,0.8290939454165154,0.9899799599198397,0.0,0.0
C,57830,0.8327678991805285,0.9979959919839679,0.0,1.0
C,57994,0.8469823420635116,1.0,1.0,1.0
C,58004,0.8755742190667583,0.9959919839679359,0.0,1.0
C,58157,0.6591952176625405,0.6332665330661322,0.0,0.0
C,58169,0.7607047843934582,0.9559118236472945,0.0,0.0
C,58252,0.8503169706195316,1.0,1.0,1.0
C,58341,0.7904220892241689,0.9959919839679359,0.0,1.0
C,58458,0.7253271638705091,0.9839679358717435,0.0,0.0
C,58572,0.8063649634768422,1.0,1.0,1.0
C,58835,0.7728597568831095,0.9859719438877755,0.0,0.0
C,58977,0.7632466767574223,0.9919839679358717,0.0,1.0
C,58988,0.8405358391774365,0.9939879759519038,0.0,1.0
C,59101,0.8425795454326499,0.9979959919839679,0.0,1.0
C,59177,0.8407298244535116,0.9919839679358717,0.0,1.0
C,59183,0.8762234136211658,1.0,1.0,1.0
C,59219,0.8805793014593315,1.0,1.0,1.0
C,59293,0.8595165772519839,1.0,1.0,1.0
C,59464,0.7098205540384122,0.811623246492986,0.0,0.0
C,59470,0.7774383722252556,0.9719438877755511,0.0,0.0
C,59508,0.7189404813788729,0.8877755511022044,0.0,0.0
C,59838,0.8470010014668824,1.0,1.0,1.0
