image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,CLIP_cosine,EfficientNet,SwAV
15438,0.12770844598505998,0.33407592677188697,97.79559118236473,99.39879759519039,99.29859719438878,99.09819639278557,0.5926105380058289,0.616900052641234,0.27078321079387596
15516,-0.011783402383175212,0.38038400555518,40.7815631262525,96.09218436873748,99.6993987975952,70.84168336673346,0.5443311929702759,0.7321117493119729,0.4300631883315746
15631,0.003340234951357643,0.2755493858013439,43.38677354709419,85.47094188376752,90.5811623246493,97.1943887775551,0.6543824672698975,0.8232951007966743,0.5693273749288406
15632,0.005114245555981327,0.23329179533010738,54.50901803607215,83.86773547094188,51.70340681362726,94.48897795591182,0.6010118126869202,1.0075781217515551,0.5825089957079121
15865,0.023657398832669076,0.19663884937125103,37.274549098196395,80.26052104208418,60.120240480961925,88.77755511022045,0.5587504506111145,0.979572309871335,0.7585345578099976
15898,0.042027612332323175,0.1627110274798119,87.17434869739479,94.28857715430863,95.29058116232466,70.64128256513027,0.5845575332641602,0.9330704491438283,0.6429612751866326
15953,-0.05883465905934483,0.07409741817533763,88.47695390781564,89.37875751503006,59.61923847695391,51.90380761523046,0.5048139095306396,0.9124264832914568,0.6439730551072773
15985,0.2374765661896356,0.8087423928613239,94.48897795591182,97.29458917835672,99.49899799599199,99.79959919839679,0.7749917507171631,0.24970553627524428,0.1941805052398789
16251,0.04064736798751277,0.6705519335363126,47.795591182364724,93.38677354709418,98.79759519038075,99.29859719438878,0.7474794387817383,0.5524849502837784,0.4952096016839883
16424,0.11640014273565248,0.21084251774451426,87.0741482965932,71.6432865731463,74.14829659318637,13.12625250501002,0.515701413154602,0.9623567202975771,0.5750840112327765
16525,0.09535905163249088,0.21262899693243675,84.06813627254508,52.00400801603207,97.59519038076152,85.87174348697394,0.60239177942276,0.7392569681324159,0.3859374070567979
16625,-0.10443791347072887,0.17639922471866543,89.47895791583167,97.29458917835672,98.49699398797594,99.89979959919839,0.8747638463973999,0.7581932368206905,0.4800255345835479
16718,0.232005516642175,0.3393461950517953,47.695390781563134,99.49899799599197,87.6753507014028,94.0881763527054,0.5735805034637451,0.7628533787904715,0.4610481516340404
16800,0.014031850297395374,0.38572956127246366,39.97995991983968,88.87775551102204,78.75751503006012,74.24849699398797,0.6132333278656006,0.9518998354746948,0.524755093582951
17017,-0.06092080791313797,0.21834257461153442,63.92785571142285,95.69138276553107,99.59919839679358,52.505010020040075,0.5326941013336182,0.8228567188599237,0.4800762978747556
17605,0.04923982179717673,0.3167196336994121,95.99198396793588,87.374749498998,24.749498997995993,92.18436873747495,0.5866023302078247,0.9473272687759392,0.5182704035336523
