split,phase,image_id,donor_id,candidate,changed_pixel_mae,clip_target_cosine_advantage,pixcorr_advantage,ssim_advantage
train,bf16,69036,3625,0,0.3496483896292893,0.42878878116607666,0.7742493183188472,0.16924957284828132
train,bf16,69036,3625,1,0.33204236996719266,0.38579994440078735,0.6285024095716625,0.15062545478476783
train,bf16,3625,23696,0,0.22233956530203233,0.25252968072891235,0.035973527392258065,-0.09945189874951105
train,bf16,3625,23696,1,0.2753749024634268,0.32955998182296753,0.16325861659933721,-0.09833116802537356
train,bf16,23696,44010,0,0.22764553493923612,0.03708380460739136,-0.08650729539919352,0.11866706520363685
train,bf16,23696,44010,1,0.18988333808051214,0.11731648445129395,0.18341084948283676,0.11299564687199537
train,bf16,44010,21652,0,0.21209927727194397,0.38425374031066895,-0.06532729349828782,0.033030412769051054
train,bf16,44010,21652,1,0.2607213138754852,0.227336585521698,-0.08640155833688161,0.14756478379945248
train,bf16,21652,6970,0,0.20989623724245562,0.07509922981262207,0.01767638747703902,-0.03944690457749994
train,bf16,21652,6970,1,0.2710704479342192,0.08143776655197144,0.10307581398722505,0.06686040439548735
train,bf16,6970,35190,0,0.2029977985456878,0.29157525300979614,-0.598881064080935,0.10712924055072315
train,bf16,6970,35190,1,0.22466234693340228,0.2909356951713562,0.1204578838169309,0.1694627606591914
train,bf16,35190,50780,0,0.31403486962411903,0.3721691370010376,-0.08024654006887971,-0.00751697224589265
train,bf16,35190,50780,1,0.23133613736021755,0.25333458185195923,0.03387086193069375,0.01627813161531147
train,bf16,50780,45620,0,0.25894594379499847,0.2690536379814148,0.3755879492197475,0.10901617821596393
train,bf16,50780,45620,1,0.24405568440755207,0.3922726809978485,0.5276206269619139,0.08623184336557843
train,bf16,45620,27323,0,0.21571769465028848,0.4311392307281494,0.21415583603688343,0.027585525449356052
train,bf16,45620,27323,1,0.29206620758655016,0.393024206161499,0.2847355981153573,0.04356376762229025
train,bf16,27323,51581,0,0.20422964657054232,0.04982268810272217,0.10191769831646273,-0.022982579829729288
train,bf16,27323,51581,1,0.23244599984362233,0.14220136404037476,0.1889636387917041,-0.005980232657598561
train,bf16,51581,7163,0,0.16642809101179531,0.23619288206100464,-0.08984283941911614,-0.046386196955465475
train,bf16,51581,7163,1,0.22974727855009203,0.15302246809005737,-0.1489116810079115,0.0686286257893417
train,bf16,7163,50828,0,0.21618875740400334,0.28226298093795776,0.12130604806709867,-0.013848636490349508
train,bf16,7163,50828,1,0.17659510693518943,0.26128503680229187,0.09772615036386006,0.01303881307342214
train,bf16,50828,53785,0,0.19811071757397616,0.23345327377319336,-0.04065128505170121,0.1215788598927744
train,bf16,50828,53785,1,0.2835400300867417,0.38722535967826843,0.2543393558897614,0.2614930554079407
train,bf16,53785,1851,0,0.17609035018222782,0.2741723954677582,0.3010286280278223,0.04762623278300823
train,bf16,53785,1851,1,0.22535541509491155,0.1151587963104248,0.13660550193502993,0.04457046785910665
train,bf16,1851,29558,0,0.1933382071700751,0.27613168954849243,0.08930555511776486,0.10563723518816068
train,bf16,1851,29558,1,0.2195790858050578,0.23564237356185913,-0.00791186800091774,0.06014835268131233
train,bf16,29558,59471,0,0.2121601378995608,0.24549823999404907,0.09841869980816384,0.0032880195381079225
train,bf16,29558,59471,1,0.20364115097943472,0.29342642426490784,0.12539039330399404,0.006911965347877219
train,bf16,59471,59462,0,0.1926936579685585,0.21460121870040894,0.07872178615848319,0.03776589207386041
train,bf16,59471,59462,1,0.2086672764198452,0.32263636589050293,-0.024071580867403686,0.0007273647986241194
train,bf16,59462,16584,0,0.23675252877029718,0.3955339193344116,-0.1657126892103644,-0.010482895408188947
train,bf16,59462,16584,1,0.2127449783624388,0.36000967025756836,-0.005280573838602476,-0.024272880395147328
train,fp32,16584,40682,0,0.31805488736021753,0.07944613695144653,-0.15732713457226466,0.009433081222667561
train,fp32,16584,40682,1,0.2966641594381893,0.12452894449234009,-0.13083081593296192,-0.002470327599768854
train,fp32,40682,38942,0,0.27757192374834044,0.33320707082748413,0.5208077348174285,0.02659758823896685
train,fp32,40682,38942,1,0.23035325193716813,0.36854836344718933,0.6692216988206169,0.02247649742917779
