split,phase,image_id,donor_id,candidate,guidance,condition,path,sha256,noise_sha256,clip_target_cosine,clip_donor_cosine,pixcorr,ssim
train,bf16,28449,4723,1,4.0,wrong,g4-wrong/28449-1.png,62d3b9bad9e172cf561f6c0d8d1043e80d138e085a2aa1e35a03183fe2acb31f,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,0.46333372592926025,0.6434588432312012,-0.05869866714050887,0.3469546578481212
train,bf16,4723,70126,0,4.0,correct,g4-correct/4723-0.png,bda099532ffe61a41eebf1f3ddede3dcf3a9ed7b583cb8408a41cdc980cc18e2,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,0.5725159049034119,0.4959962069988251,-0.05160388432090444,0.3256696220315558
train,bf16,4723,70126,1,4.0,correct,g4-correct/4723-1.png,961a62f1c78bf936b40db4e2b403945438fc45a90e5d53410a99d4f5eefc6b47,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,0.5904384255409241,0.5041334629058838,-0.059212797612874214,0.2686449548012306
train,bf16,4723,70126,0,4.0,wrong,g4-wrong/4723-0.png,547dd8ad2698a6d7da2cdeb8ce34e0c60c6eea04933abc70d25f5dfda13d14d7,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,0.46479150652885437,0.5890414118766785,0.13675871690800223,0.31668490946038697
train,bf16,4723,70126,1,4.0,wrong,g4-wrong/4723-1.png,c01493f74f60a0f56f1493297749eb69f061ce1c42cb5eb4b2a5c7e0d01aba65,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,0.521888017654419,0.6053766012191772,-0.09524307352590418,0.257326429166143
train,bf16,70126,26393,0,4.0,correct,g4-correct/70126-0.png,30c3a1bf8f5acaef8aa3c6c6c9feaa5d2f624d1b5251cead66e74d0ed6813324,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,0.6859798431396484,0.492801696062088,-0.17467811853285103,0.2769545548096549
train,bf16,70126,26393,1,4.0,correct,g4-correct/70126-1.png,e350e8b17428fe8545e8c9dcb170b8d2d4fe69d7ec1ca8bab5d187ce6a6435f8,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,0.6550943851470947,0.43635648488998413,-0.19606362977155553,0.2731952748879592
train,bf16,70126,26393,0,4.0,wrong,g4-wrong/70126-0.png,cbb2fc619f8b3a4fe6e89c35bdfcf79e176cee254c11348a6f4052d2ad838227,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,0.5363332629203796,0.7909964323043823,-0.18430819805249937,0.3098440400818035
train,bf16,70126,26393,1,4.0,wrong,g4-wrong/70126-1.png,e649446fa827ddf183cdae95439908a356acc4167144dd24c933c50d4ef838ad,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,0.4952085614204407,0.740319013595581,0.009048168054440812,0.32245129967921743
train,bf16,26393,33748,0,4.0,correct,g4-correct/26393-0.png,fcbaa9f94f6ef422da4babcad60213fd840311135a7a2e18adae4bb298abea66,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,0.7478678822517395,0.6279566287994385,0.022425397104427803,0.553304261263546
train,bf16,26393,33748,1,4.0,correct,g4-correct/26393-1.png,b77549f17c0c6d5981c0145b13caeff441ba01f7548cc4caddf82717bf5b37af,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,0.8015968203544617,0.6480920314788818,0.08249810154951319,0.4859563562462345
train,bf16,26393,33748,0,4.0,wrong,g4-wrong/26393-0.png,93fb80a3d477b894b77d9a90b5b793ee0b669e017d421ef593461d5a0b19b632,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,0.5621399879455566,0.8904829025268555,0.13617908101421308,0.36082366766337315
train,bf16,26393,33748,1,4.0,wrong,g4-wrong/26393-1.png,e0337dea82337b0c98a50779b0fc35d0b973b350bcb2ce4c9fee9544611f03bd,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,0.5900486707687378,0.9367016553878784,0.2583782456491852,0.341374510996061
train,bf16,33748,57293,0,4.0,correct,g4-correct/33748-0.png,20c2bcdbb5dc80cd319c6d998dbe4b0f9b06a77e65c8ab19c70f67cf31363872,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,0.9316523671150208,0.6575402021408081,0.5969867980794893,0.3135020350389867
train,bf16,33748,57293,1,4.0,correct,g4-correct/33748-1.png,539fd2dc8afc035485c6c4caf32d75cd20e5e4b9adc4366cfb99595265fbed90,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,0.9536786079406738,0.6584023237228394,0.6575662356153964,0.34116821450282053
train,bf16,33748,57293,0,4.0,wrong,g4-wrong/33748-0.png,358fe2e749892b69f8d68d46d1d82ef0553937103efca9c161834afdcac18f76,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,0.5457616448402405,0.7858067154884338,-0.010391302243396414,0.13339231532372778
train,bf16,33748,57293,1,4.0,wrong,g4-wrong/33748-1.png,d469082998b8c0b22a386425d42f3f93379ddddf482a53deddcbeca45025e643,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,0.5575870871543884,0.781639575958252,-0.014119771639323158,0.15559668882172578
train,bf16,57293,20217,0,4.0,correct,g4-correct/57293-0.png,35fa4eda5bf950a09b1855173e49608ddb0a5247517a855c1e7d583b98a2feb4,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,0.7276643514633179,0.5272449851036072,-0.0010306341522637987,0.19374211019862525
train,bf16,57293,20217,1,4.0,correct,g4-correct/57293-1.png,892d75823e55baa9056cd9ad3fe8924fdec837464c821f1a21f15a57f6acdc14,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,0.6844061613082886,0.5237512588500977,-0.17697822186624348,0.20308306806057477
train,bf16,57293,20217,0,4.0,wrong,g4-wrong/57293-0.png,4457d2ef73932318622c6f1021c7675f39d7013e18c779b245116de503e9501e,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,0.5430199503898621,0.6572266221046448,0.19646521567161646,0.2550797861567652
train,bf16,57293,20217,1,4.0,wrong,g4-wrong/57293-1.png,fd329354d830173b9843276fec7a688ac9932cb80be7e75052b53463614cac8b,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,0.5727100968360901,0.7779566049575806,-0.16300144606860542,0.1875078005971146
train,bf16,20217,15879,0,4.0,correct,g4-correct/20217-0.png,00c584b61c5ecbd81e3d6843ae0fc6cdfc633c14914fe82916a81a4cc981a31b,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,0.7244528532028198,0.4296419024467468,0.21837893129495717,0.298530653615159
train,bf16,20217,15879,1,4.0,correct,g4-correct/20217-1.png,c534bb0bc2584673bf3bb3e5a0e3ba64ad52573db57f156c635939b23e532153,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,0.638093113899231,0.48153969645500183,0.03989486580265564,0.276928438713099
train,bf16,20217,15879,0,4.0,wrong,g4-wrong/20217-0.png,ddaf604640783d9e575f387c69f48b176c491d3dc80dcd6bed04b3e0f5a2fbb1,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,0.47706958651542664,0.7356913089752197,0.16767887150378852,0.21924154880621638
