method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,8862,0.7003621946142286,0.9957414829659319,0.625,0.875,0.7079158316633266,0.9544088176352705,-0.0047966246162913844,0.26569124366494534
Uniform,8926,0.5805456932803738,0.904559118236473,0.0,0.25,0.9726953907815631,0.5991983967935872,0.11601013210155084,0.18064965928842827
Uniform,9188,0.8100715323503255,0.9884769539078156,0.25,0.375,0.9534068136272544,0.9378757515030061,0.011278948902456634,0.409575741232733
Uniform,9298,0.622577662744448,0.9777054108216433,0.125,0.375,0.9679358717434869,0.9912324649298596,0.013033166657592254,0.22917070066323392
Uniform,9376,0.8282700756633156,0.9919839679358717,0.0,0.75,0.9897294589178356,0.9829659318637275,0.21606653784010743,0.5941158863288363
Uniform,9712,0.5135282691464488,0.6956412825651304,0.0,0.0,0.4281062124248497,0.6417835671342685,-0.00548113205044044,0.12198888462790392
Uniform,9877,0.6865412725904285,0.972945891783567,0.0,0.0,0.9519038076152304,0.9506513026052104,0.2021889908962549,0.3315713577642289
Uniform,10115,0.4214147875513618,0.19639278557114226,0.0,0.0,0.8414328657314629,0.24123246492985972,0.07534532663747565,0.40659911238103796
Uniform,10191,0.7966064313031492,0.9992484969939879,0.75,1.0,0.9564128256513026,0.9769539078156313,-0.01635756895556791,0.570683128322911
Uniform,10361,0.5218795019070765,0.7545090180360722,0.0,0.0,0.6781062124248498,0.7705410821643286,0.05148912383500299,0.21602337899925741
Uniform,10602,0.7157121817698613,0.9744488977955912,0.0,0.0,0.8712424849699398,0.9711923847695391,0.36503038733768334,0.23626736227891587
Uniform,10622,0.6583355877621693,0.9569138276553106,0.0,0.125,0.6916332665330661,0.11973947895791583,-0.05289900878884027,0.31729697619676905
Uniform,11050,0.5776702940446332,0.8544589178356713,0.0,0.0,0.8304108216432866,0.8509519038076152,0.04105343710767972,0.32710729009468703
Uniform,11274,0.7918746995528794,0.9907314629258517,0.25,0.5,0.9649298597194389,0.936122244488978,0.2034814121424055,0.32631734968396825
Uniform,11493,0.6128273067786394,0.9626753507014028,0.125,0.125,0.4797094188376753,0.3975450901803607,0.03550080894005807,0.17658535553776905
Uniform,11757,0.6408163711369406,0.9887274549098196,0.375,0.375,0.9696893787575149,0.9764529058116231,0.14649925094276817,0.16344484931997183
