checkpoint,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim
106250,train,70126,26393,correct,0,correct/70126-0.png,257fc9ccc8f2096d104cb063572314a5c12cc12c6081c73298c6d91b1901eeae,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.5381212830543518,0.016215885904458622,0.3024274009907014
106250,train,70126,26393,correct,1,correct/70126-1.png,06a7b7601079dec42d9a58b321b0eaa9dbe2a8bb7473bb7395dff979b9fa6e26,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.6465562582015991,-0.11772093338708003,0.31109933584049076
106250,train,70126,26393,wrong,0,wrong/70126-0.png,6507f07d5d0daa64aa83a873d48b1eebe53a88ee7425865b800048c013ea136e,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.473339319229126,-0.06302639164458859,0.2664278230782561
106250,train,70126,26393,wrong,1,wrong/70126-1.png,465762f5faf2b3ef96ce786f5e6d5e538a666ae3d417d5bb839fffa890c70e40,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.517745852470398,-0.060246399212131735,0.33659972074179995
106250,train,26393,33748,correct,0,correct/26393-0.png,2cbaf87208b9c4b6c7f67e6d6f5e4ef1fd9c3ccc774331dded50253caf1d52f4,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.7021300792694092,0.10800677767558517,0.503247371094433
106250,train,26393,33748,correct,1,correct/26393-1.png,861cc1643fa59a73f147b170983bd158d0b683fa05a9f84ebdf23749d9d26293,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.7258497476577759,0.05229496773377011,0.43577363550898934
106250,train,26393,33748,wrong,0,wrong/26393-0.png,289ca11ce84ed3e9c865a9ef917a0389f08fab0c9d526c65483748fd169b3587,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.526238739490509,0.23022525204203048,0.4065326310940177
106250,train,26393,33748,wrong,1,wrong/26393-1.png,0168199123cc07a8a6ecff2a2864af61e6b03a71ef0d7cdae61ffa45e82c1c13,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.4694747030735016,0.30222146710872694,0.3801465352941443
106250,train,33748,57293,correct,0,correct/33748-0.png,68461e59330c42f146d0c8ac05e669d9438651e612a0857d37c6e0e34003093a,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.7397003173828125,0.39935082146793816,0.25895412230328574
106250,train,33748,57293,correct,1,correct/33748-1.png,f59028842d7603c652ea9ae8043a4519a809805aba1673f1c0a0efe459d2f071,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.7542073130607605,0.5473005762219565,0.30831002450417677
106250,train,33748,57293,wrong,0,wrong/33748-0.png,8550a6c96fa43437b776446ac3236a42415e2fdfee182e8d532ec221c629856e,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.5138819217681885,0.06088333724595599,0.19221071570450754
106250,train,33748,57293,wrong,1,wrong/33748-1.png,afbf1068ad86209bc7fc760f50b0b8ad01f6a9d33ec3dbfc7579c2b7e4de6761,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.5592079162597656,0.3179431663654404,0.2729182950887312
106250,train,57293,20217,correct,0,correct/57293-0.png,2c3be739479e63875e472e436a4ca06c0a1c4d51351d7103c2a73b32dcae46c9,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.6545349359512329,0.1761405832229681,0.21946852583375484
106250,train,57293,20217,correct,1,correct/57293-1.png,d210c05e9bd3727ee4fb3daadb2691e271106a34451647920d80c43e66bfae64,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.6510439515113831,-0.15244584461462288,0.2065154258179676
106250,train,57293,20217,wrong,0,wrong/57293-0.png,3569fb3ec662efd6b14f31ef1ffda3a2e1ba95b0be3bdf9bb1fbfe16fe0e3ea7,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.4697445333003998,0.06827250407479454,0.2576441241280949
106250,train,57293,20217,wrong,1,wrong/57293-1.png,33df92dc38999ed778d81fb2d69fe58131138c7418cac61c18bc9b4ba2104da1,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.5876761674880981,-0.26631023766392314,0.20504906591375416
106250,train,20217,15879,correct,0,correct/20217-0.png,46f9943626bae0508d8ff00e2996991219dd12a881c03cea0d527804d5edb050,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.6709744334220886,0.05804687229659242,0.2692007778803838
106250,train,20217,15879,correct,1,correct/20217-1.png,9788f42a0dace91b035fa85cea9a1db1547b6ed486b797a458bb59d885c249a5,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.6857414245605469,0.04332168429411094,0.33162470784243103
106250,train,20217,15879,wrong,0,wrong/20217-0.png,f11397f4e6945f464953357aaeae1f29f854f5e544dad57c35a4c393c9f55970,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.5486814379692078,0.2599979477897704,0.29960816012901953
106250,train,20217,15879,wrong,1,wrong/20217-1.png,18981bb6ce35b77a66ce2b1bfa6b53642f7faed2ffc9d11644966be04e8142c8,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.6154946684837341,-0.08019072698560403,0.33360991775075305
106250,train,15879,69036,correct,0,correct/15879-0.png,067b26528f788633c31e65c13d97d97caefd81ac0241cc9fcc227becc4535739,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.5836803913116455,0.11148436463042724,0.19079857578039525
106250,train,15879,69036,correct,1,correct/15879-1.png,f0b0f32dd4e48b9959d10d7888e44b3dc4663f47b15908e4c045da810b218891,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.5545969605445862,-0.017566178376473045,0.2111402105474555
