checkpoint,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip,gt_donor_clip,rms,extreme_fraction_train_5sd,raw_repeat_corr,centered_repeat_corr,different_image_raw_corr,centered_repeat_specificity,lh_repeat_specificity,rh_repeat_specificity,session_1,session_2,session_3,quality_stratum
106250,train,45620,27323,0.8625962138175964,0.09741935536259166,0.29986098594072985,0.5407451391220093,-0.025808229042770248,0.2740723517360826,0.32185107469558716,0.4355388879776001,2.3254134899146166,0.0,0.6522280535801535,0.28464700319020847,0.5725294839090934,0.2176171225749095,0.19549960911091968,0.232943746589962,21,21,22,1
106250,train,27323,51581,0.6101154386997223,0.19774099012156116,0.40085718016710004,0.5017510503530502,0.14827928770569024,0.43162834281920337,0.10836438834667206,0.563561201095581,1.694257536999478,0.0,0.511586081985662,0.23923011016747756,0.43078234944419047,0.282187864890088,0.28705957617604216,0.2887919914337163,35,35,35,2
106250,train,51581,7163,0.6326797306537628,-0.009797470256801447,0.417796387863265,0.5622062981128693,-0.030975177891883574,0.2573817670811195,0.07047343254089355,0.5020532608032227,2.098275133431488,0.0,0.5872017876969823,0.19585589118243577,0.48392780935889085,0.14471317051492474,0.2120331549168514,0.09523318655572081,6,38,39,0
106250,train,7163,50828,0.6252942383289337,-0.024847419412559163,0.3500890702946921,0.4425400495529175,-0.01160937699485775,0.34389321060402245,0.18275418877601624,0.46337994933128357,1.9578478894555058,0.0,0.5319032905753857,0.157572405995228,0.42235745261128493,0.122735480327133,0.07286591906792982,0.16935210197972358,8,18,38,0
106250,train,50828,53785,0.7145238518714905,-0.04370479157505197,0.4920055967310197,0.5544402301311493,-0.019097545431963577,0.32224104715734025,0.1600836217403412,0.5122295618057251,1.6133665987084702,3.7873766735470675e-05,0.601678656855502,0.3956438463821444,0.46385401066884785,0.242924251066861,0.2982687801623994,0.15891251551729169,8,25,31,1
106250,train,53785,1851,0.5828831493854523,-0.09202809037892892,0.25967668276470857,0.44826945662498474,-0.2914610202990913,0.26143197779294963,0.13461369276046753,0.513744056224823,1.6989185997135883,0.0,0.44751778644478146,-0.012516018617573649,0.44689012019202035,0.002249241986894556,-0.011276491452251727,0.012018052309410887,6,9,22,0
106250,train,1851,29558,0.7773157358169556,0.004322227912672505,0.26018771624131687,0.5721764266490936,-0.0014245572336102838,0.19616328875501102,0.20513930916786194,0.5582448840141296,1.8732572675102592,0.0,0.6806275607143691,0.2964751976615096,0.5584709323150736,0.3073067583187528,0.263649442454442,0.34085859556542714,2,33,38,2
106250,train,29558,59471,0.6030210554599762,0.12283687174928726,0.20801124257388573,0.4877273440361023,0.1435298835524469,0.21738928380641925,0.1152937114238739,0.4687461853027344,2.089639610141475,0.0,0.6024720900162003,0.11669954766073942,0.5203500512935774,0.13766681239486903,0.15348306145276416,0.1318780115317116,10,38,40,0
106250,train,59471,59462,0.5942112505435944,0.2248545983131553,0.292233305845444,0.46153752505779266,-0.1874299509359459,0.27217698347655483,0.1326737254858017,0.4467180669307709,2.378768358918568,0.0,0.7273945960304952,0.3175651103795391,0.5803095815350566,0.2736731823388801,0.21375599367486273,0.320611693100983,25,25,25,2
106250,train,59462,16584,0.6774668991565704,-0.008352142931171758,0.20808040996485894,0.5843780636787415,-0.08395024099103142,0.1619272059822738,0.09308883547782898,0.5443434119224548,2.0501807737414404,1.8936883367735337e-05,0.6801784032190922,0.16223435218252572,0.5097915673939447,0.1713122365730653,0.14950775403596733,0.16417221756559586,4,4,13,1
159375,train,16584,40682,0.5512536764144897,-0.008600101559762856,0.08096723233331976,0.5098287463188171,0.1870204602303405,0.10211373397058496,0.04142493009567261,0.44129741191864014,1.8966447281575172,0.0,0.5782062046384913,0.07027111871716797,0.5302420804876399,0.05655306237484784,0.09329974075354991,0.017199825760683202,21,22,22,0
