label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,70126,26393,correct,1,correct/70126-1.png,06910c9377c44b2063492ab40d086f7210c5402a24008a6f7b2fd864734a5d8a,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.6448840498924255,-0.15148553949786153,0.2868280717168906,
B0,train,70126,26393,wrong,0,wrong/70126-0.png,29cc2454f711e11e3319e08f06e05b303cf5699e82b1d84978ffce1e596432dc,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.45929083228111267,-0.16601878035255715,0.27993036583025604,
B0,train,70126,26393,wrong,1,wrong/70126-1.png,d81416b68c3adeb6b3e8288c26d9ec83ee2504323035f4bab077e6444cd3d556,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.49236440658569336,-0.0666535194600796,0.33966175236711094,
B0,train,26393,33748,correct,0,correct/26393-0.png,2cd277acda48173693b59ae30296d331a923764c138c9e0a17e9d6dcc93e400d,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.6969687342643738,-0.07819174036916059,0.5822608378817589,
B0,train,26393,33748,correct,1,correct/26393-1.png,f78c1d0cfa5af8ccbd76621242b70b1acaeb7877453d2f29493c60920da4a568,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.7676721811294556,0.05983868793578514,0.5211342586876165,
B0,train,26393,33748,wrong,0,wrong/26393-0.png,f1226c0583d0c6d8d577258995cc6b106af11b49b352e1511dcbcc36dbbe8479,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.5413045883178711,0.30471897080868277,0.41929251873149326,
B0,train,26393,33748,wrong,1,wrong/26393-1.png,5c5e36cd877f8dcea8d66e273599a9bb3a156e5cff7d922789c92941b05a9db7,0019d2d1ccc1627f42428b0f1cd396e261b1006a37d9c6990b31189dc07e534f,4,0.5564442276954651,0.23850991806433985,0.3432291345396223,
B0,train,33748,57293,correct,0,correct/33748-0.png,6e0eb860a65328fa7d443eff7b090fcc5744be7a9ed61663de6d79b7ab38e854,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.9189062118530273,0.5019966615126599,0.27016185320946,
B0,train,33748,57293,correct,1,correct/33748-1.png,e33c9b65f335cdb6b5fb64dcfdc877675c686af53fff3fcab6105ff2555d8ade,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.8873807787895203,0.5855560932510201,0.33781032140227063,
B0,train,33748,57293,wrong,0,wrong/33748-0.png,dd2480b44bf3fb84d8765aea046710885ec11298d5a09b8878d77832cf5faada,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.5639992952346802,0.07740285706242296,0.16219795159129924,
B0,train,33748,57293,wrong,1,wrong/33748-1.png,2845dc8ad12d0c7a2b13391041d39dd4c204efd61dd881ce13fd991f91bf1e88,ea12a6e5334d683616001b6e1d93e997a3eb53d67412edf2f0a4c6526ff5b880,4,0.4991111159324646,0.15229781971995843,0.2343992903870877,
B0,train,57293,20217,correct,0,correct/57293-0.png,82ca23809ae10c6fdff751778e3b3d50876c07a172350f9fff0b76281cf4e44f,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.6191468238830566,0.21019235322447222,0.22586350270839328,
B0,train,57293,20217,correct,1,correct/57293-1.png,f052c505c3ae70111ef7ad00aae6667af25ccfa8b493be6aa0e5358c54d021fd,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.8785696029663086,-0.08275275036424704,0.20634804321138178,
B0,train,57293,20217,wrong,0,wrong/57293-0.png,2f3ec3616c20d05072116e840b71895f5e9b9e2a5b7f3945e5285597da403d3b,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.5832105875015259,-0.11239491519463211,0.22836795460737477,
B0,train,57293,20217,wrong,1,wrong/57293-1.png,7dab9ac9c0e6251cb68c18696ce6b68b6ad30706c36bba98bce7edb8a8054c5e,2ce3fbbaf3262abce9abef7120e90ccb53908017cf443112e22b9f7e8cb94ef1,4,0.545799732208252,-0.30871660879645296,0.19287068737304422,
B0,train,20217,15879,correct,0,correct/20217-0.png,beb090ed22dd902794f05932335ca4aa1e0d9dfa4c2d35731e0d35b4a73728c3,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.6116247773170471,0.12644643607717987,0.3104160189418076,
B0,train,20217,15879,correct,1,correct/20217-1.png,b151df3ee35b42492aeec7613f833cdfebdc0d5780cb2c30f70383fc6b6813dd,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.7781047224998474,0.016425064040145876,0.24383110140084943,
