label,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip
L2500,train,38942,4905,0.7182642817497253,0.11963133420050853,0.3855767933285909,,,,
L2500,train,4905,17344,0.6753516793251038,0.06557039223104771,0.263917009135079,,,,
L2500,train,17344,32725,0.5838281214237213,0.10608728376682505,0.18080204315847986,,,,
L2500,train,32725,28449,0.8241154253482819,0.4123067997280003,0.1613095377811798,,,,
L2500,train,28449,4723,0.5602983236312866,-0.284845303037312,0.44983090476113863,,,,
L2500,train,4723,70126,0.5795243680477142,0.06221601761016482,0.29629243142439654,,,,
L2500,train,70126,26393,0.6335131525993347,-0.040665286249310054,0.3083331579912012,,,,
L2500,train,26393,33748,0.7465554773807526,-0.041616889984736505,0.5361668403026195,,,,
L2500,train,33748,57293,0.9129250049591064,0.5181502503581827,0.29665932731235856,,,,
L2500,train,57293,20217,0.6988931596279144,0.05904827778859499,0.21533816726895336,,,,
L2500,train,20217,15879,0.6832128167152405,0.058770127954125576,0.2715832856958993,,,,
L2500,train,15879,69036,0.7110026180744171,0.12853744271798434,0.21301817608968132,,,,
L2500,train,69036,3625,0.9257528483867645,0.48692745565152357,0.32449739627101926,,,,
L2500,train,3625,23696,0.7749326229095459,-0.10325261534694796,0.16422667267676416,,,,
L2500,train,23696,44010,0.5538109838962555,-0.145978279666021,0.5550737467167367,,,,
L2500,train,44010,21652,0.8452315032482147,0.12677873435335835,0.3843494896615762,,,,
L2500,train,21652,6970,0.6983861327171326,0.18794134354102382,0.2855732842161123,,,,
L2500,train,6970,35190,0.6935743987560272,-0.22215691387121708,0.5397427036183662,,,,
L2500,train,35190,50780,0.6548359096050262,-0.03450775784743628,0.17907043905459574,,,,
L2500,train,50780,45620,0.7392429113388062,0.3133488066898101,0.4400642330413671,,,,
L2500,train,45620,27323,0.870546281337738,0.2468184013036404,0.33494660859924663,,,,
L2500,train,27323,51581,0.6600864231586456,0.18520368575178936,0.34790541815926923,,,,
L2500,train,51581,7163,0.6984411180019379,-0.026274917465775156,0.3610764468131027,,,,
L2500,train,7163,50828,0.6845570802688599,-0.010947136413112044,0.31597562697440285,,,,
L2500,train,50828,53785,0.7495710253715515,-0.02991010480780599,0.46021643799077305,,,,
L2500,train,53785,1851,0.6283324658870697,0.10973322586520728,0.28849424968348647,,,,
L2500,train,1851,29558,0.8154218196868896,0.07179498205257452,0.2714731312247406,,,,
L2500,train,29558,59471,0.6782908141613007,0.10387076507418583,0.15402118036825085,,,,
L2500,train,59471,59462,0.6556569039821625,0.11716067563723506,0.29896010292013975,,,,
L2500,train,59462,16584,0.7701160609722137,-0.02956204021312748,0.22877073023888828,,,,
H5000,train,16584,40682,0.579384058713913,-0.0388918574860051,0.08241947037436871,0.5284480899572372,0.17201507610974093,0.10593795665141567,0.05093596875667572
H5000,train,40682,38942,0.7633215188980103,0.590513578312391,0.43864839437311887,0.49125728011131287,0.0910296223433727,0.44823835479632634,0.2720642387866974
H5000,train,38942,4905,0.6251206994056702,0.16489646846817418,0.4034010134132267,0.6662969291210175,0.11928845931666557,0.3465169864495965,-0.04117622971534729
H5000,train,4905,17344,0.6069394946098328,0.04096719994030057,0.3012550989402526,0.39945143461227417,0.03140702762220729,0.36697991142646136,0.2074880599975586
H5000,train,17344,32725,0.5614767819643021,0.061505572112313986,0.1818547493851811,0.5240186750888824,-0.052717975131416746,0.12475486020394906,0.03745810687541962
H5000,train,32725,28449,0.8586645126342773,-0.16461603637482636,0.1422860563415665,0.6215891540050507,-0.09060926408340222,0.17750628350696024,0.23707535862922668
H5000,train,28449,4723,0.5821719765663147,-0.17008493892814386,0.4525382682228541,0.5391473472118378,-0.0769529889420491,0.3021239106514665,0.04302462935447693
H5000,train,4723,70126,0.49333466589450836,-0.04499016104753416,0.29231537308719446,0.5558071732521057,-0.05469666932060295,0.35898419820687794,-0.06247250735759735
H5000,train,70126,26393,0.508818507194519,-0.11470694202395101,0.2607862013113109,0.4830675572156906,-0.03685435155119857,0.2847385589069618,0.02575094997882843
H5000,train,26393,33748,0.7083190977573395,0.002102684212204775,0.5241217219884591,0.5475200414657593,0.2943497487515066,0.3848400751293344,0.1607990562915802
H5000,train,33748,57293,0.9248605668544769,0.5341107085125998,0.3171938420547965,0.5987564623355865,0.13115080301127066,0.20124191767344865,0.3261041045188904
H5000,train,57293,20217,0.7175136804580688,0.0502609247603854,0.19367497592199223,0.5795916616916656,-0.20664042034756555,0.20861328769205031,0.1379220187664032
H5000,train,20217,15879,0.6447159051895142,0.04092195186528432,0.2970631990997777,0.5995028614997864,0.1035081492256903,0.2976722030042568,0.04521304368972778
H5000,train,15879,69036,0.7006897628307343,0.07131308020014272,0.1917017758980946,0.4946635067462921,0.20322914212583743,0.17332973213160802,0.20602625608444214
H5000,train,69036,3625,0.9021254777908325,0.4425767577945486,0.33814761309656016,0.6251531541347504,-0.05960098599025476,0.20311273047536169,0.27697232365608215
H5000,train,3625,23696,0.7073635458946228,-0.1324939920047365,0.14571857290022214,0.5793288052082062,-0.18698674694605916,0.24184890942649068,0.12803474068641663
H5000,train,23696,44010,0.5809192061424255,-0.2512947149401896,0.5202920499291223,0.5485348999500275,-0.07127934652250423,0.4256081551571038,0.03238430619239807
H5000,train,44010,21652,0.700169026851654,0.10147405766754006,0.3641433529966519,0.5796962678432465,0.08804110451909741,0.3919120849460539,0.12047275900840759
H5000,train,21652,6970,0.6100462377071381,0.0972013959652977,0.3172832648431291,0.6160777509212494,0.14806756608043292,0.33939991023676364,-0.006031513214111328
H5000,train,6970,35190,0.5605862438678741,-0.1606608372412828,0.5535903942775878,0.5643036961555481,-0.000626764924353089,0.35419060598084506,-0.00371745228767395
H5000,train,35190,50780,0.7115187644958496,-0.12988319687655842,0.16277809218274988,0.4084351658821106,0.031017327428100084,0.17689432864911575,0.303083598613739
H5000,train,50780,45620,0.7457484900951385,0.20263965289219713,0.4419401773285017,0.48226846754550934,-0.05013009100241501,0.2831180562061067,0.2634800225496292
H5000,train,45620,27323,0.8944175243377686,0.09558564312559859,0.2597671980246265,0.4988563656806946,-0.027793580703067325,0.28692366950693127,0.395561158657074
H5000,train,27323,51581,0.5275783240795135,0.1609176281261679,0.33231370523281734,0.5283138751983643,-0.01290897817652725,0.3995957878122189,-0.000735551118850708
H5000,train,51581,7163,0.648036003112793,-0.04751696779287067,0.38501765664835247,0.4839727580547333,-0.05741729687267398,0.30860966600090534,0.1640632450580597
H5000,train,7163,50828,0.6640559434890747,-0.036060832583739946,0.30224766286678534,0.4474000036716461,-0.030683953316519755,0.3306669719902021,0.2166559398174286
H5000,train,50828,53785,0.8255232572555542,0.011568223349751994,0.5258280309567597,0.5377265512943268,-0.055157079813087526,0.21968871663561612,0.2877967059612274
H5000,train,53785,1851,0.6243458390235901,0.060010908872109005,0.28330108644606766,0.48335452377796173,-0.24059486260568552,0.24607529265991945,0.14099131524562836
H5000,train,1851,29558,0.7574987411499023,0.005786585278308873,0.2756135769706716,0.5613444745540619,-0.007682931870102744,0.2027473852214098,0.19615426659584045
