/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=2490 loss=0.136914 elapsed=1538.2s
H local_update=2500 loss=0.119138 elapsed=1544.3s
H local_update=2510 loss=0.135859 elapsed=1561.8s
H local_update=2520 loss=0.077313 elapsed=1567.9s
H local_update=2530 loss=0.085939 elapsed=1574.1s
H local_update=2540 loss=0.163976 elapsed=1580.2s
H local_update=2550 loss=0.099186 elapsed=1586.4s
H local_update=2560 loss=0.083609 elapsed=1592.5s
H local_update=2570 loss=0.124972 elapsed=1598.7s
H local_update=2580 loss=0.103387 elapsed=1604.8s
H local_update=2590 loss=0.108380 elapsed=1611.0s
H local_update=2600 loss=0.123862 elapsed=1617.2s
H local_update=2610 loss=0.091132 elapsed=1623.3s
H local_update=2620 loss=0.170296 elapsed=1629.4s
H local_update=2630 loss=0.136512 elapsed=1635.5s
H local_update=2640 loss=0.185634 elapsed=1641.6s
H local_update=2650 loss=0.080767 elapsed=1647.7s
H local_update=2660 loss=0.103735 elapsed=1653.9s
H local_update=2670 loss=0.097125 elapsed=1660.1s
H local_update=2680 loss=0.080256 elapsed=1666.2s
H local_update=2690 loss=0.092460 elapsed=1672.4s
H local_update=2700 loss=0.131746 elapsed=1678.5s
H local_update=2710 loss=0.090665 elapsed=1684.6s
H local_update=2720 loss=0.105040 elapsed=1690.7s
H local_update=2730 loss=0.120626 elapsed=1696.8s
H local_update=2740 loss=0.100402 elapsed=1703.0s
H local_update=2750 loss=0.159964 elapsed=1709.1s
H local_update=2760 loss=0.090253 elapsed=1715.3s
H local_update=2770 loss=0.104681 elapsed=1721.4s
H local_update=2780 loss=0.151533 elapsed=1727.6s
H local_update=2790 loss=0.082511 elapsed=1733.7s
H local_update=2800 loss=0.100234 elapsed=1739.8s
H local_update=2810 loss=0.105743 elapsed=1746.0s
H local_update=2820 loss=0.133009 elapsed=1752.1s
H local_update=2830 loss=0.117756 elapsed=1758.2s
H local_update=2840 loss=0.084473 elapsed=1764.3s
H local_update=2850 loss=0.071833 elapsed=1770.5s
H local_update=2860 loss=0.084782 elapsed=1776.6s
H local_update=2870 loss=0.105896 elapsed=1782.7s
H local_update=2880 loss=0.115481 elapsed=1788.8s
H local_update=2890 loss=0.101991 elapsed=1795.1s
H local_update=2900 loss=0.099237 elapsed=1801.2s
H local_update=2910 loss=0.105271 elapsed=1807.3s
H local_update=2920 loss=0.114845 elapsed=1813.4s
H local_update=2930 loss=0.099776 elapsed=1819.5s
H local_update=2940 loss=0.083503 elapsed=1825.6s
H local_update=2950 loss=0.088633 elapsed=1831.8s
H local_update=2960 loss=0.081571 elapsed=1837.9s
H local_update=2970 loss=0.156218 elapsed=1844.1s
H local_update=2980 loss=0.081213 elapsed=1850.3s
H local_update=2990 loss=0.133812 elapsed=1856.5s
H local_update=3000 loss=0.109918 elapsed=1862.7s
H local_update=3010 loss=0.115816 elapsed=1868.8s
H local_update=3020 loss=0.091231 elapsed=1874.9s
H local_update=3030 loss=0.167111 elapsed=1881.0s
H local_update=3040 loss=0.140585 elapsed=1887.2s
