/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
L local_update=1960 loss=0.134929 elapsed=1196.3s
L local_update=1970 loss=0.126084 elapsed=1202.4s
L local_update=1980 loss=0.090608 elapsed=1208.5s
L local_update=1990 loss=0.103342 elapsed=1214.5s
L local_update=2000 loss=0.129773 elapsed=1220.6s
L local_update=2010 loss=0.124943 elapsed=1226.6s
L local_update=2020 loss=0.091994 elapsed=1232.7s
L local_update=2030 loss=0.069974 elapsed=1238.8s
L local_update=2040 loss=0.075502 elapsed=1244.8s
L local_update=2050 loss=0.127089 elapsed=1251.0s
L local_update=2060 loss=0.116452 elapsed=1256.9s
L local_update=2070 loss=0.073917 elapsed=1263.0s
L local_update=2080 loss=0.152324 elapsed=1269.0s
L local_update=2090 loss=0.114445 elapsed=1275.1s
L local_update=2100 loss=0.081071 elapsed=1281.2s
L local_update=2110 loss=0.055448 elapsed=1287.4s
L local_update=2120 loss=0.082406 elapsed=1293.5s
L local_update=2130 loss=0.144516 elapsed=1299.6s
L local_update=2140 loss=0.129999 elapsed=1305.7s
L local_update=2150 loss=0.127132 elapsed=1311.9s
L local_update=2160 loss=0.095252 elapsed=1318.0s
L local_update=2170 loss=0.095212 elapsed=1324.1s
L local_update=2180 loss=0.142278 elapsed=1330.2s
L local_update=2190 loss=0.068363 elapsed=1336.3s
L local_update=2200 loss=0.086218 elapsed=1342.4s
L local_update=2210 loss=0.138351 elapsed=1348.5s
L local_update=2220 loss=0.096396 elapsed=1354.6s
L local_update=2230 loss=0.114992 elapsed=1360.8s
L local_update=2240 loss=0.137654 elapsed=1366.9s
L local_update=2250 loss=0.158123 elapsed=1373.0s
L local_update=2260 loss=0.147684 elapsed=1379.2s
L local_update=2270 loss=0.127157 elapsed=1385.3s
L local_update=2280 loss=0.070953 elapsed=1391.4s
L local_update=2290 loss=0.088761 elapsed=1397.6s
L local_update=2300 loss=0.138973 elapsed=1403.6s
L local_update=2310 loss=0.073110 elapsed=1409.7s
L local_update=2320 loss=0.079736 elapsed=1415.9s
L local_update=2330 loss=0.137156 elapsed=1421.9s
L local_update=2340 loss=0.140085 elapsed=1428.0s
L local_update=2350 loss=0.091550 elapsed=1434.2s
L local_update=2360 loss=0.123737 elapsed=1440.2s
L local_update=2370 loss=0.084440 elapsed=1446.3s
L local_update=2380 loss=0.087009 elapsed=1452.5s
L local_update=2390 loss=0.133272 elapsed=1458.5s
L local_update=2400 loss=0.109717 elapsed=1464.6s
L local_update=2410 loss=0.124770 elapsed=1470.7s
L local_update=2420 loss=0.113449 elapsed=1476.8s
L local_update=2430 loss=0.089898 elapsed=1483.1s
L local_update=2440 loss=0.122445 elapsed=1489.2s
L local_update=2450 loss=0.117535 elapsed=1495.4s
L local_update=2460 loss=0.102356 elapsed=1501.5s
L local_update=2470 loss=0.122108 elapsed=1507.5s
L local_update=2480 loss=0.159776 elapsed=1513.7s
L local_update=2490 loss=0.136934 elapsed=1519.8s
L local_update=2500 loss=0.119195 elapsed=1525.9s
L local_update=2510 loss=0.135837 elapsed=1545.0s
L local_update=2520 loss=0.077288 elapsed=1551.1s
L local_update=2530 loss=0.085854 elapsed=1557.3s
L local_update=2540 loss=0.163958 elapsed=1563.4s
L local_update=2550 loss=0.099157 elapsed=1569.6s
L local_update=2560 loss=0.083511 elapsed=1575.7s
L local_update=2570 loss=0.125043 elapsed=1581.8s
L local_update=2580 loss=0.103269 elapsed=1587.9s
L local_update=2590 loss=0.108267 elapsed=1594.0s
L local_update=2600 loss=0.123732 elapsed=1600.2s
L local_update=2610 loss=0.091081 elapsed=1606.3s
L local_update=2620 loss=0.170256 elapsed=1612.4s
L local_update=2630 loss=0.136541 elapsed=1618.5s
L local_update=2640 loss=0.185573 elapsed=1624.7s
L local_update=2650 loss=0.080622 elapsed=1630.8s
L local_update=2660 loss=0.103651 elapsed=1636.9s
L local_update=2670 loss=0.097056 elapsed=1643.1s
L local_update=2680 loss=0.080173 elapsed=1649.2s
L local_update=2690 loss=0.092334 elapsed=1655.3s
L local_update=2700 loss=0.131847 elapsed=1661.4s
L local_update=2710 loss=0.090651 elapsed=1667.5s
L local_update=2720 loss=0.104852 elapsed=1673.6s
L local_update=2730 loss=0.120611 elapsed=1679.7s
L local_update=2740 loss=0.100327 elapsed=1685.8s
L local_update=2750 loss=0.159935 elapsed=1691.9s
L local_update=2760 loss=0.090074 elapsed=1698.0s
L local_update=2770 loss=0.104748 elapsed=1704.2s
L local_update=2780 loss=0.151417 elapsed=1710.3s
L local_update=2790 loss=0.082357 elapsed=1716.4s
L local_update=2800 loss=0.100073 elapsed=1722.5s
L local_update=2810 loss=0.105617 elapsed=1728.5s
L local_update=2820 loss=0.132990 elapsed=1734.6s
L local_update=2830 loss=0.117662 elapsed=1740.8s
L local_update=2840 loss=0.084385 elapsed=1746.8s
L local_update=2850 loss=0.071804 elapsed=1753.0s
L local_update=2860 loss=0.084683 elapsed=1759.1s
L local_update=2870 loss=0.105894 elapsed=1765.2s
L local_update=2880 loss=0.115333 elapsed=1771.3s
L local_update=2890 loss=0.101926 elapsed=1777.4s
L local_update=2900 loss=0.099226 elapsed=1783.5s
L local_update=2910 loss=0.105168 elapsed=1789.6s
L local_update=2920 loss=0.114832 elapsed=1795.8s
L local_update=2930 loss=0.099606 elapsed=1801.8s
L local_update=2940 loss=0.083482 elapsed=1808.0s
L local_update=2950 loss=0.088542 elapsed=1814.1s
L local_update=2960 loss=0.081583 elapsed=1820.2s
L local_update=2970 loss=0.156120 elapsed=1826.4s
L local_update=2980 loss=0.081216 elapsed=1832.5s
L local_update=2990 loss=0.133718 elapsed=1838.6s
L local_update=3000 loss=0.109791 elapsed=1844.7s
L local_update=3010 loss=0.115690 elapsed=1850.8s
L local_update=3020 loss=0.091065 elapsed=1856.9s
L local_update=3030 loss=0.166753 elapsed=1863.1s
L local_update=3040 loss=0.140501 elapsed=1869.2s
L local_update=3050 loss=0.124341 elapsed=1875.3s
L local_update=3060 loss=0.096485 elapsed=1881.5s
L local_update=3070 loss=0.067963 elapsed=1887.6s
L local_update=3080 loss=0.150635 elapsed=1893.7s
L local_update=3090 loss=0.102962 elapsed=1899.8s
L local_update=3100 loss=0.077563 elapsed=1905.9s
L local_update=3110 loss=0.086449 elapsed=1912.1s
L local_update=3120 loss=0.104841 elapsed=1918.2s
L local_update=3130 loss=0.098241 elapsed=1924.2s
L local_update=3140 loss=0.135687 elapsed=1930.4s
L local_update=3150 loss=0.078028 elapsed=1936.5s
L local_update=3160 loss=0.135803 elapsed=1942.6s
L local_update=3170 loss=0.127398 elapsed=1948.7s
L local_update=3180 loss=0.118964 elapsed=1954.8s
L local_update=3190 loss=0.141663 elapsed=1961.0s
L local_update=3200 loss=0.134315 elapsed=1967.1s
L local_update=3210 loss=0.138866 elapsed=1973.1s
L local_update=3220 loss=0.142794 elapsed=1979.3s
L local_update=3230 loss=0.136761 elapsed=1985.4s
L local_update=3240 loss=0.122425 elapsed=1991.4s
L local_update=3250 loss=0.111166 elapsed=1997.6s
L local_update=3260 loss=0.074130 elapsed=2003.7s
L local_update=3270 loss=0.096016 elapsed=2009.8s
L local_update=3280 loss=0.105619 elapsed=2016.0s
L local_update=3290 loss=0.117537 elapsed=2022.0s
L local_update=3300 loss=0.142880 elapsed=2028.2s
L local_update=3310 loss=0.107323 elapsed=2034.2s
L local_update=3320 loss=0.107329 elapsed=2040.3s
L local_update=3330 loss=0.118176 elapsed=2046.4s
L local_update=3340 loss=0.156975 elapsed=2052.5s
L local_update=3350 loss=0.098554 elapsed=2058.6s
L local_update=3360 loss=0.136243 elapsed=2064.7s
L local_update=3370 loss=0.075758 elapsed=2070.9s
L local_update=3380 loss=0.142517 elapsed=2077.0s
L local_update=3390 loss=0.101236 elapsed=2083.2s
L local_update=3400 loss=0.115100 elapsed=2089.5s
L local_update=3410 loss=0.114913 elapsed=2095.6s
L local_update=3420 loss=0.088664 elapsed=2101.7s
L local_update=3430 loss=0.128143 elapsed=2107.8s
